Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,4.3836211807,8.0797423736,8.1614353141,3.8149168468,-0.0840088505,5.3640096428,10.1650010922,7.6437904953,11.4938281899,6.6263707315,5.2132685577,5.2522781017,3.0116457722,2.1768731164,1.1583262687,5.2800714878,6.6761951629,-4.35949399,6.6048180884,5.4711319317,4.7313137121,3.7078946185,6.6917414525,-4.9540754149,1.0241007596,6.0579084842,5.7364604899,6.412405548,12.7285084308,9.2594206897,-0.0301331311,-12.1075361856,-7.2000244614,-2.0791270468,3.5066092221,-0.1039391406,5.1019403635,4.0602189627,5.3424794349,
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.4749651672,1.3266648909,6.2129713187,6.9754899245,5.978493584,2.3646061759,6.2977864641,5.0915874865,7.0506573661,7.1673454178,4.0033083551,3.9117819146,2.5993128253,4.0967687742,1.332862793,2.5909519482,3.6076744586,0.8982335008,4.0559645489,3.0524168535,3.3564209994,3.3194220132,-2.2309602363,4.6307661289,5.2493504869,4.1002036451,2.5784424745,5.7768519841,3.8808198435,3.5308014383,-0.375332994,0.4364639124,4.0619941996,4.0516107406,3.8893322497,3.9488072767,3.9476152273,4.4401397504,5.006807026,3.8678687966,1.930054261,3.8529270505,3.0683048508,4.1456713953,3.2035481322,2.9780543855,3.7497273701,3.6981406852,1.8119571988,2.0058797006,2.3728207003,3.6342496161,2.5698560881,2.6094574798,2.421610556,2.7657734988,
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.5379793168,2.648675113,4.1382675816,6.1243537376,3.480174918,5.6428614109,3.0080477978,4.4723127825,6.2758671661,6.4572890146,5.1149686211,6.2078609602,4.8904354644,3.9421381158,-0.3637357127,4.5784453911,5.0799808494,-0.2106535052,5.3566998134,1.7314854194,-0.1442944881,2.0112543919,2.973088004,0.0512752313,2.4986784976,2.3013927574,1.3571680555,3.2958801797,3.8870747917,4.3456415567,3.4416274035,2.0935247109,0.5268094811,2.4021187843,2.6679836285,2.3983142982,2.2050196714,3.5599669048,3.5899877234,3.3684077386,1.3505160721,1.6558549613,0.7561565796,2.7057430777,2.1406826028,3.350831347,3.6215104333,1.5472638218,-3.7990750449,1.9286730555,2.9227976364,0.6804443742,0.0255041006,0.8287338754,1.0918542317,1.4509154382,
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6999999601,-22.6000003947,-23.0999995486,-19.700000019,-11.8000008994,1.3000001998,5.8000005239,10.0000002782,7.4000005817,11.0999992535,9.9,10.5999992016,11.2000002371,10.2000003983,26.4000008082,34.4999995103,25.0489995232,10.7724207826,9.410653764,4.8543393238,0.0659227678,2.2000001884,5.7966783963,2,1.0999998091,-3.100000202,
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.7461350547,9.0631579346,4.1354074198,6.2730379031,3.9672256087,4.6129928959,13.821518602,-0.2978836732,-1.4595411432,21.3256707328,2.7468287114,-6.4039649229,6.8890507179,-0.7268395621,0.6979202362,7.942660976,11.4694530443,-0.9405759892,1.6649549503,0.9910557251,12.1632755702,-1.0535998202,3.7153269914,0.1555440048,11.7831801831,3.2501804583,5.5030961188,5.0310243683,1.3495022299,3.49982214,4.9968364514,1.0099983659,-6.2399999992,-3.8299999967,-7.9200000007,-8.0000000014,-1.5899999972,4.7499999921,-1.0099999962,-0.8568640592,2.0558071093,4.4465194189,-1.2237279592,4.8336577616,0.9000000029,5.3846573982,4.7858319509,5.0481187833,3.468425425,3.7859025431,4.191625681,4.0193655295,4.5940542182,4.6609181845,-3.9211427489,-0.5704344523,
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.9784230632,5.2120035093,4.3515842817,6.9566847334,3.5606598399,3.1558949817,3.8681469469,4.1941296249,6.6297997953,5.5918026288,3.9858273551,5.2956044104,6.3817020976,4.5652580548,-1.96594158,5.6527458596,0.6261547998,2.841896576,2.3410730634,4.444054022,-0.2792836002,0.5949869392,0.3118427315,2.4663826787,1.6517928392,1.8227621145,2.3066594082,4.7232088974,3.4691668325,3.1374024764,1.8330742711,1.5306548137,-0.9618730883,3.226971467,2.3847572378,1.5934063029,3.7104449536,1.9752743661,3.5633115521,3.6336520149,0.8115436069,1.7805063006,0.7745672335,3.6346806722,2.0942727085,2.5061401155,3.4489737917,0.7831730378,-2.2531746349,2.7442132718,1.7983026591,0.2347969244,0.2006504437,1.3514342372,1.4044948775,1.466004876,
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.1412804587,-3.4264098229,4.7300279755,6.6507591186,5.2938628344,3.5758627328,1.0783986658,3.8423356358,2.8774979761,2.0977575777,-1.4968418282,6.4263675445,3.7061653186,3.3393121607,-4.8953454449,0.884356333,4.9836637249,1.255078032,6.5357474088,6.7817638716,9.9542311666,2.2350663445,-4.3478227345,7.9298395643,7.5303248365,2.1711415979,-1.5000029494,3.4052452949,-2.8541604963,8.9761343606,4.2257994187,2.9577108264,5.8361720878,2.0204004477,6.0451986477,4.3242840314,5.7346883767,3.961012138,5.341449372,5.8599921011,5.3304108567,4.6444700257,3.4440448487,4.4296290237,1.7115776281,3.9470137472,5.986515522,4.8933939182,2.3192269244,2.116850127,2.9627503508,4.8102834133,7.1930965187,6.3575209528,2.0944579812,3.9812877672,
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.0439279765,6.1287987814,-1.2680163726,2.2828192232,3.7645453806,0.5376130831,8.8233149751,3.0707739377,2.0260810407,0.1170196109,1.4133398819,2.3114987412,0.449327405,8.2864264823,2.9983828904,8.5348949695,0.370353558,4.6078250053,3.6646215118,0.7968788724,4.2553033945,9.5621966228,0.3459847397,-1.7786966865,8.5173649954,7.955362728,-0.2363367936,5.7955929648,2.1502672758,-0.60292848,9.0699844608,0.2327107625,3.4613849351,1.3150072721,5.7163738668,11.0147438692,6.316834735,7.3077196331,7.4041789663,1.8202418928,6.6133995551,4.3530043229,7.8024398982,4.4784743487,8.6618616052,6.2531586036,5.6550051183,7.2944981501,2.9620143714,5.373373126,6.6268651923,6.452698755,5.7925893169,4.3268373569,3.8945453009,5.9157978813,
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.0581608255,5.4530309699,-0.4558942899,10.952788546,1.6062582289,2.5668120013,-1.8758639196,9.4894540155,1.2208579091,5.6198522928,-5.4794830272,-13.973728702,3.3256801988,9.5919563004,-4.0882140918,5.6613612012,2.67305605,7.0738377326,4.8016346006,0.8191418689,7.2339436949,2.1343278358,3.8810463998,4.8033100153,3.3420146542,4.173382559,3.7724018525,2.4162568557,2.8365821291,5.6222581616,3.4852278154,5.4426855507,4.7115617245,3.8901264407,5.1212778972,4.5229192176,4.4898964974,5.1770268735,4.6701563683,5.2932947185,5.077287776,3.8331239401,4.7395673992,5.2395329105,6.5359449405,6.6718682651,7.0586362061,6.0137897592,5.0451247942,5.571802274,6.4643838805,6.5214350784,6.0135960675,6.0610930538,6.552633316,7.1134894741,
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.9001618598,2.3345655922,3.4303059127,3.3964436228,2.68344074,4.2076020043,6.0545138388,10.9446920642,-3.289882068,-9.1173770965,-8.4453552381,-7.2723879065,-1.480214829,1.8180112407,2.8601894415,1.5999999625,-1.0999999122,3.4999998326,-5.6099999765,5.0109494357,4.2480252571,6.0181222643,5.0775222462,6.5555665468,7.236192982,6.7531339154,7.6753506819,3.6378161161,-3.5861456251,1.3240268205,1.9150180106,0.0309436076,0.8620927376,1.3288497223,3.6174426325,3.9410695161,
